,questions,answers
0,heat map,heat map is a graphical representation of data where values are depicted by color
1,eda library,.panda profiling is the auto eda library is an open source option that is written in python
2,define empirical relationship dataset,"mean, median, and mode are closely connected by the following relations called an empirical relationship"
3,plots used plotting raw data,"for row data histograms, bihistograms, probability plots, lag plots, block plots, and wooden plots"
4,purpose visualization,.it gives assessment not exactness
5,data aggregation,data aggregation is the process of gathering data and presenting it in a summarized format
6,eda,exploratory data analysis the process of investigating the dataset to discover patterns and anomalies or outlets
7,graph continuous,a function is continuous if its graph is an unbroken curve
8,confidence interval,.a confidence interval displays the probability that a parameter will fall between a pair of values around the mean
9,find mean,adding all numbers in the data set and then dividing by the number of values in the set
10,unbiased estimate,an unbiased estimator of a parameter is an estimator whose expected value is equal to the parameter
11,median,"the median is the middle number in a sorted, ascending or descending."
12,median influenced outlets,no median does not get influenced by outlets
13,threshold parameter,the threshold parameter defines the minimum value in a lognormal distribution
14,mode,the mode is the value that appears most often in a set of data values
15,statistical methods widely used analyzing data,there are two statistical methods widely used for analyzing data descriptive and influential statistics
16,uses eda,"catching mistakes and anomalies,gaining new insights into data,detecting outlets in data,understanding relationships"
17,define inter quartile range,inter quartile range is the difference between the third quartile and the first quartile
18,scale parameter,the scale represents the standard deviation of the normally distributed data
19,scatter plot,scatter plot is used to plot data points on a horizontal and a vertical axis to show how much one variable is affected by another
20,distribution plot,a distribution plot displays a distribution and range of a set of numeric values plotted against a dimension
21,noisy data,.noisy data is a meaningless data that cannot be interpreted by machines
22,winning method,this method works on sorted data in order to smooth it
23,bubble chart,bubble chart is a data visualization that displays multiple circles in a two-dimensional plot
24,important step data science,exploratory data analysis is important step in data science
25,terms comes eda,summary statistics for numerical data in the dataset and creating various graphical representations to understand the data better
26,first moment business decision,measure of central tendency is also called as first moment business decision
27,measure central tendency,measure of central tendency is called as summary statistics
28,mean,the sum of the values divided by the number of values
29,mean influenced outlets,yes mean influenced by outlets
30,second moment business decision,measure of dispersion also called as second moment business decision
31,define measure dispersion,a measure of dispersion indicates the scattering of data
32,four measure dispersion,"the four measure of dispersion are range, interquartile range, standard deviation and variance"
33,best measurement dispersion,the best measurement for dispersion is standard deviation
34,variance means,the term variance refers to a statistical measurement of the spread between numbers in a data set
35,standard deviation,"in statistics, the standard deviation is a measure of the amount of variation or dispersion of a set of values"
36,range dataset,the range is the simple measurement of the difference between values in a dataset
37,disadvantage variance,the disadvantage of the variance is unit get squared
38,advantage standard deviation,advantage of standard deviation is we get back the original input from squares units
39,tools included eda,python and r are the tools used for eda
40,multivariate nongraphical method,multivariate non-graphical eda techniques generally show the relationship between two or more variables of the data through cross ablation or statistics
